動畫名稱,ID,集數,年份,季節,字幕組
黃昏旅店,1578,1-12,2025,冬,喵萌奶茶屋
神劍闖江湖 ―明治劍客浪漫譚― 京都動亂 (第二季),1534,1-23,2024,秋,
遲早是最強的鍊金術師？,1573,1-12,2025,冬,
平凡上班族到異世界當上了四天王的故事,1574,1-12,2025,冬,
S級怪獸《貝希摩斯》被誤認成小貓，成為精靈女孩的騎士（寵物）一起生活,1571,1-12,2025,冬,
七龍珠大魔,1569,1-20,2024,秋,幻櫻
在地下城尋求邂逅是否搞錯了什麼 V 豐饒女神篇 (第五季),1528,1-15,2024,秋,
平凡職業造就世界最強 第三季,1564,1-16,2024,秋,
Wonderful 光之美少女！,1416,1-50,2024,冬,雪飄
夏目友人帳 漆,1568,1-12,2024,秋,千夏
星辰墜落之國的妮娜,1596,1-12,2024,秋,-
FAIRY TAIL魔導少年 百年任務,1499,1-25,2024,夏,
蜻蛉高球,1438,1-26,2024,春/秋,
常軌脫離Creative,1541,1-12,2024,秋,MCE漢化組
鴨乃橋論的禁忌推理 第二季,1558,14-26,2024,秋,
悲喜漁生,1527,1-12,2024,秋,-
恰如細語般的戀歌,1463,1-12,2024,春,
魔王 2099,1562,1-12,2024,秋,
BLUE LOCK 藍色監獄 VS. U-20 日本代表隊 (第二季),1545,1-14,2024,秋,
BLEACH 死神 千年血戰篇-相剋譚-,1543,1-14,2024,秋,豌豆&風之聖殿
重啟人生的千金小姐正在攻略龍帝陛下,1565,1-12,2024,秋,六四位元
戰國妖狐 千魔混沌篇,1478,14-35,2024,夏,喵萌奶茶屋
新網球王子 U-17 世界盃 SEMIFINAL,1526,1-13,2024,秋,
精靈幻想記 第二季,1559,1-12,2024,秋,
唯願來世不相識,1555,1-12,2024,秋,
Love Live! Superstar!! 第三季,1554,1-12,2024,秋,
亂馬 1/2,1550,1-12,2024,秋,喵萌奶茶屋
神選 GOD.app 第二季,1542,13-24,2024,秋,喵萌奶茶屋
轉生貴族憑鑑定技能扭轉人生 第二季,1520,1-12,2024,秋,
MF GHOST 燃油車鬥魂 第二季,1553,1-12,2024,秋,
噗妮露是可愛史萊姆,1552,1-12,2024,秋,
魔法光源股份有限公司,1548,1-12,2024,秋,
被逐出隊伍的治癒師，其實是最強,1546,1-12,2024,秋,
女僕冥土小姐,1544,1-12,2024,秋,
青之驅魔師 雪之盡頭篇,1547,1-12,2024,秋,豌豆
當不成魔法師的女孩,1535,1-12,2024,秋,
去參加聯誼，卻發現完全沒有女生在場,1539,1-12,2024,秋,
偶像大師 閃耀色彩 第二季,1537,1-12,2024,秋,
刀劍神域外傳Gun Gale Online II (第二季),1538,1-12,2024,秋,
百姓貴族 第二季,1536,1-12,2024,秋,
再見龍生，你好人生,1531,1-12,2024,秋,
機械臂,1532,1-12,2024,秋,
聽說你們要結婚！？,1529,1-12,2024,秋,
膽大黨,1530,1-12,2024,秋,
